x,y
16,34
37,24
32,2
17,34
38,24
32,3
17,33
39,24
32,4
17,32
40,24
33,4
40,25
33,3
39,25
34,3
39,26
35,3
35,2
40,26
35,1
40,27
35,0
40,28
36,0
39,28
37,0
39,27
38,0
38,27
39,0
38,28
39,1
38,29
40,1
39,29
40,0
40,29
41,0
40,30
41,1
41,30
41,2
41,29
40,2
42,29
40,3
42,28
41,3
43,28
41,4
43,27
40,4
44,27
40,5
39,5
39,4
38,4
38,5
37,5
37,6
38,6
38,7
38,8
39,8
39,9
39,10
39,11
39,12
39,13
38,13
37,13
37,14
38,14
39,14
40,14
40,15
41,15
41,14
41,13
41,12
40,12
40,11
40,10
41,10
42,10
42,11
42,12
42,13
42,14
42,15
43,15
43,14
44,14
45,14
45,13
46,13
46,12
47,12
47,13
48,13
48,14
48,15
49,15
49,16
49,17
49,18
49,19
48,19
48,20
49,20
49,21
48,21
48,22
47,22
46,22
45,22
44,22
43,22
43,23
43,24
43,25
42,25
42,24
41,24
41,25
41,26
41,27
42,27
42,26
43,26
44,26
45,26
45,27
45,28
46,28
46,29
45,29
45,30
45,31
44,31
43,31
43,30
42,30
42,31
41,31
40,31
39,31
39,30
38,30
38,31
38,32
37,32
37,33
36,33
36,34
36,35
37,35
37,36
37,37
36,37
36,38
35,38
35,37
34,37
33,37
33,38
34,38
34,39
35,39
35,40
34,40
33,40
32,40
31,40
30,40
30,41
30,42
29,42
29,41
28,41
28,40
29,40
29,39
28,39
28,38
28,37
28,36
27,36
27,35
26,35
25,35
24,35
24,36
24,37
24,38
23,38
23,39
24,39
24,40
24,41
25,41
26,41
26,40
27,40
27,41
27,42
26,42
